11,0.045,761.5,500,0,0,0,783,117,6,0.680508005,0,0.483746483,0,3.046,0,77.5,0,0,0,0,746,15,0.691165818,15,98,0.656063072,20,0,0.596576576,0,4,0.50993813,2,0,0.48739119,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045,761.5,500,247.5,459.5,424,216,260,25,0.680508005,0.691165818,0.005664022,0.004481132,3.046,0.99,469,212,-0.088941277,0.325884466,0.314986889,81,84,0.664073274,21,60,0.662081753,42,17,0.669850192,8,33,0.641228944,23,6,0.588374688,0,19,0.626058158,13,0,0.601491809,0,13,0.642138586,4,0,0.467673493,0,4,0.421348513,8,0,0.492370674,0,8,0.673996711,2,0,0.468086425,0,2,0.619086461,3,0,0.432283048,0,3,0.359081047,2,0,0.406385274,0,2,0.353528843,6,0,0.580427193,0,6,0.546180703,2,0,0.463845125,0,2,0.62224894,1,0,0.428444862,0,1,0.348735574,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045,761.5,500,316,576,520,163,217,13,0.680508005,0.691165818,0.005664022,0.000769231,3.046,1.264,469,260,-0.038440968,0.468595793,0.602905345,81,85,0.673996711,30,59,0.645925316,24,25,0.662081753,6,20,0.642267794,12,6,0.592865786,1,12,0.587555362,6,1,0.528098517,0,6,0.58216375,2,0,0.573680012,0,2,0.584160853,1,0,0.417940194,0,1,0.493659667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.045,760.5,500,0,0,0,815,85,5,0.67804548,0,0.53017186,0,3.042,0,76,0,0,0,0,766,20,0.678890995,33,58,0.660842198,16,3,0.601847219,0,4,0.489322447,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.045,760.5,500,0,0,0,829,71,5,0.67804548,0,0.53017186,0,3.042,0,76,0,0,0,0,766,13,0.678890995,49,53,0.667623063,14,1,0.660842198,0,4,0.483260419,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.045,760.5,500,272,503,462,188,250,11,0.67804548,0.668084951,0.002761033,0.005122655,3.042,1.088,472.5,231,-0.042698591,0.305285945,0.408057016,93,92,0.678890995,24,74,0.667965691,30,18,0.650446079,7,27,0.677199965,19,5,0.60057764,1,19,0.532983193,12,1,0.59194138,0,12,0.586642875,2,0,0.360504172,0,2,0.496819421,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.045,760.5,500,280,521,482,190,228,11,0.67804548,0.677199965,0.002761033,0.005260818,3.042,1.12,472.5,241,0.015303045,0.304249801,0.304249801,93,74,0.678890995,18,71,0.633731404,52,16,0.648523373,3,40,0.586997996,16,3,0.617789297,1,16,0.632120357,3,1,0.456069301,1,3,0.525465104,3,1,0.650446079,0,3,0.468625791,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.045,752.5,500,0,0,0,812,88,4,0.678432859,0,0.498485507,0,3.01,0,108,0,0,0,0,797,10,0.680803087,9,78,0.643207754,6,0,0.442596766,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.045,752.5,500,0,0,0,812,88,5,0.678432859,0,0.498485507,0,3.01,0,108,0,0,0,0,797,11,0.680803087,9,75,0.643207754,6,0,0.594309665,0,2,0.356741677,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.045,752.5,500,293,536,486,175,239,14,0.678432859,0.676062631,0.005713611,0.003497942,3.01,1.172,472,243,-0.01075025,0.395994987,0.395994987,81,87,0.680803087,28,66,0.640413283,21,22,0.628347036,12,19,0.643207754,8,12,0.612452745,5,8,0.535380956,13,5,0.605393815,3,13,0.60916062,2,3,0.605644632,1,2,0.421116575,0,1,0.363065251,1,0,0.215975652,0,1,0.520117931,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
