,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
43,11,0.067,1658,500,1062.5,1466.5,808,0,92,2,0.68589383,0.695770497,0.011826684,0.01093236,6.632,4.25,500,404,-0.00243932,0.409192994,0.409192994,0,92,0.676017162,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,0.067,1653,500,985.5,1337.5,704,56,140,7,0.693204231,0.696473152,0.601966871,0.611540425,6.612,3.942,489.5,352,0.448142015,0.426269158,0.233748211,21,88,0.676034658,14,17,0.678472029,20,14,0.623811624,0,20,0.660657727,1,0,0.407737579,0,1,0.572263434,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,0.067,1653,500,1125,1513,776,21,103,3,0.693204231,0.696473152,0.601966871,0.604843939,6.612,4.5,489.5,388,0.545665945,0.426269158,0.296153043,21,85,0.676034658,0,18,0.678472029,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12,0.067,1653,500,1085,1486,802,3,95,4,0.693204231,0.696473152,0.013170801,0.011687952,6.612,4.34,499.5,401,0.006735973,0.424291693,0.484865496,2,92,0.669276014,1,2,0.386966014,0,1,0.631413708,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12,0.067,1653,500,1107.5,1511.5,808,2,90,3,0.693204231,0.696473152,0.013170801,0.011908066,6.612,4.43,499.5,404,-0.017658572,0.316631247,0.316631247,2,88,0.647484267,0,2,0.48341045,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,13,0.067,1644,500,0,0,0,420,480,14,0.688092605,0,0.580454503,0,6.576,0,487.5,0,0,0,0,25,94,0.676428422,20,22,0.684908615,10,17,0.59064256,106,8,0.689695801,21,95,0.673069106,150,11,0.576900749,1,149,0.619339099,67,1,0.636459909,2,65,0.686489409,15,0,0.676725188,0,15,0.637180524,3,0,0.556041403,0,3,0.511914573,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
49,13,0.067,1644,500,0,0,0,500,400,12,0.688092605,0,0.580454503,0,6.576,0,487.5,0,0,0,0,25,93,0.686489409,59,23,0.625083058,71,57,0.676428422,82,50,0.689695801,53,62,0.684908615,87,23,0.676607704,53,57,0.617318659,61,11,0.619339099,4,19,0.615470025,5,2,0.632318104,0,3,0.211451101,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,13,0.067,1644,500,1052,1451,798,3,99,4,0.688092605,0.689695801,0.014910803,0.014084092,6.576,4.208,500,399,-0.011033231,0.443730825,0.443730825,2,96,0.676428422,1,2,0.445033791,0,1,0.350877801,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,13,0.067,1644,500,1076.5,1477.5,802,2,96,3,0.688092605,0.689695801,0.014910803,0.012684628,6.576,4.306,500,401,-0.00137588,0.463120625,0.463120625,2,94,0.686489409,0,2,0.422494757,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,14,0.067,1640.5,500,1068,1438,740,39,121,4,0.688631324,0.678915593,0.594276577,0.585493868,6.562,4.272,492.5,370,0.587590185,0.366212722,0.25189206,15,94,0.700829115,24,9,0.623760007,0,18,0.505649141,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,14,0.067,1640.5,500,1068,1451,766,19,115,5,0.688631324,0.678915593,0.594276577,0.580988007,6.562,4.272,492.5,383,0.495453908,0.322554109,0.26858522,15,97,0.700829115,2,14,0.589904067,2,2,0.500408833,0,2,0.375467971,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,14,0.067,1640.5,500,1039,1432,786,7,107,4,0.688631324,0.700829115,0.014516227,0.01501924,6.562,4.156,499.5,393,-0.046558405,0.382696885,0.382696885,4,100,0.672249828,3,4,0.594450559,0,3,0.39598841,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,14,0.067,1640.5,500,1048,1446,796,5,99,4,0.688631324,0.700829115,0.014516227,0.015638382,6.562,4.192,499.5,398,-0.03506219,0.395249629,0.28316583,4,96,0.672249828,1,2,0.596019692,0,1,0.405279212,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
